trail_name,trail_type,distance(miles),high_point(feet),elevation_gain(feet),difficulty,seasons,family_friendly,backpackable,crowded,latitude,longitude
Memaloose Overlook Trail,out-and-back,1.4,,288.0,Easy,,,,,45.69458,-121.34384
Memaloose Overlook to Catfield Hill,out-and-back,3.7,,744.0,Moderate,,,,,45.69462,-121.34412
Memaloose State Park Loop,loop,4.5,,754.0,Moderate,,,,,45.69471,-121.34264
Memaloose and Clackamas Falls,out-and-back,5.7,,1784.0,Hard,,,,,45.19271,-122.21251
Memorial Park Forest Trail,loop,1.5,,45.0,Easy,,,,,45.29699,-122.75759
Meyers Beach to Pistol River,out-and-back,2.7,,68.0,Easy,,,,,42.3058,-124.40997
Meyers Creek to Cape Sebastian Trail,out-and-back,4.8,,485.0,Moderate,,,,,42.30553,-124.4102
Michelle Summit,out-and-back,1.0,,196.0,Moderate,,,,,44.6286,-123.29001
Mickey Hot Springs,out-and-back,0.2,,3.0,Easy,,,,,42.67964,-118.34857
Midddle Creek to North Creek,out-and-back,1.6,,196.0,Easy,,,,,45.44162,-122.67553
Middle Creek and Lewis and Clark Trail,out-and-back,2.2,,354.0,Easy,,,,,45.44193,-122.67556
"Middle Creek, Cedar, and Old Main Trail ",loop,2.0,,291.0,Easy,,,,,45.4411,-122.67598
"Middle Creek, North Horse, Lewis and Clark, Cedar, Old Main",loop,3.2,,459.0,Easy,,,,,45.44127,-122.6758
Middle Fork Willamette Path from Clearwater Park,out-and-back,7.7,,157.0,Easy,,,,,44.02667,-122.95657
Middle Fork Willamette River Trail,out-and-back,9.0,,1440.0,Hard,,,,,43.44152,-122.19357
Middle Fork Willamette Trail: Sand Prairie to Butcherknife Creek,out-and-back,10.2,,265.0,Moderate,,,,,43.59885,-122.45517
Middle Fork Willamette Traill: Sacandaga Campground to Butcherknife Creek,out-and-back,9.6,,374.0,Moderate,,,,,43.49509,-122.3304
Middle Pyramid Trail,out-and-back,3.3,,1833.0,Hard,,,,,44.49898,-122.06235
Middle Sister via Pole Creek Trail #4072,out-and-back,17.3,,5282.0,Moderate,,,,,44.1876,-121.70044
Midge Kramer Path,out-and-back,4.8,,216.0,Easy,,,,,44.56533,-123.31242
Midge Kramer Path (Witham Oaks Section),out-and-back,1.2,,72.0,Easy,,,,,44.57934,-123.29758
Midnight Lake,loop,5.7,,528.0,Moderate,,,,,43.60418,-122.04517
"Midnight Lake, Hidden Lake, Yoran Lake via PCT",out-and-back,15.6,,1706.0,Moderate,,,,,43.57976,-122.04186
Mike Miller Educational Trail,loop,0.7,,134.0,Moderate,,,,,44.60221,-124.05241
Mill Beach,out-and-back,1.0,,39.0,Easy,,,,,42.04931,-124.29247
Mill Creek Wildnerness Trail,out-and-back,6.3,,688.0,Easy,,,,,44.44018,-120.57829
Mill Hill Loop Trail,loop,3.0,,255.0,Easy,,,,,44.40795,-123.33663
Mill Race Path,out-and-back,5.1,,68.0,Easy,,,,,44.04392,-123.01585
Miller Lake,out-and-back,1.5,,459.0,Moderate,,,,,42.07125,-123.29864
Miller Lake to Maidu Lake,out-and-back,7.7,,833.0,Moderate,,,,,43.22863,-121.968
Miller Woods,loop,3.5,,606.0,Moderate,,,,,45.24625,-123.27478
Miller Woods Outer Loop West Half,loop,2.2,,285.0,Easy,,,,,45.24593,-123.27493
Minam Lake Trail to Copper Trail and Sky Lake Loop,loop,31.1,,7286.0,Hard,,,,,45.24995,-117.37666
Minam Lake and Blue Lake,out-and-back,13.9,,2375.0,Moderate,,,,,45.24988,-117.37673
Minam River,out-and-back,3.1,,85.0,Easy,,,,,45.56999,-117.72671
Minam State Park Area Trails,loop,2.4,,423.0,Easy,,,,,45.75427,-117.6389
Mink Lake Loop Trail,loop,17.2,,2391.0,Hard,,,,,43.95323,-121.80265
Minto-Brown Island Park,loop,7.3,,121.0,Easy,,,,,44.92373,-123.07174
Mirror Lake Loop Trail,loop,3.7,,646.0,Moderate,,,,,45.30242,-121.77551
Mirror Lake to Eagle Cap,out-and-back,16.9,,4146.0,Moderate,,,,,45.25029,-117.37647
Mirror Pond via Deschutes River Trail ,out-and-back,9.6,,396.0,Moderate,,,,,44.09102,-121.34665
Misery Ridge Trail,out-and-back,2.2,,1115.0,Hard,,,,,44.36614,-121.13743
Misery Ridge and Mesa Verde Trail,loop,2.1,,944.0,Moderate,,,,,44.36589,-121.13723
Misery Ridge and River Trail,loop,4.0,,1043.0,Moderate,,,,,44.36751,-121.13521
Misery Ridge and Summit Trail Loop,loop,5.5,,1778.0,Hard,,,,,44.36626,-121.13678
Mitchell Point Trail,out-and-back,1.7,,944.0,Moderate,,,,,45.70303,-121.61874
Molalla Pond Loop Trail,loop,0.9,,42.0,Easy,,,,,45.29541,-122.70153
Molalla River Loop,loop,5.9,,987.0,Moderate,,,,,45.03949,-122.48917
Molalla River State Park Trail,out-and-back,3.2,,82.0,Easy,,,,,45.29564,-122.70189
Monon Lake via Olallie Lake Trail,out-and-back,4.8,,124.0,Moderate,,,,,44.81401,-121.78917
Moon Falls Trail,out-and-back,1.0,,101.0,Easy,,,,,43.73424,-122.62046
Moon Mountain Loop,loop,5.3,,977.0,Moderate,,,,,44.02347,-123.05996
Moon Point and Young's Rock via Young's Creek Trail,loop,18.0,,3707.0,Moderate,,,,,43.52434,-122.44661
Moonshine County Park,out-and-back,0.4,,19.0,Easy,,,,,44.7777,-123.83519
Moore Mountain Loop,loop,10.4,,1309.0,Moderate,,,,,42.23157,-121.80955
Moore Park Nature Trail Loop,loop,1.1,,147.0,Moderate,,,,,42.23164,-121.80971
Moraine Lake Trail,out-and-back,5.1,,1473.0,Moderate,,,,,44.03532,-121.76583
Morraine Lake,out-and-back,7.0,,1066.0,Moderate,,,,,44.03105,-121.7364
Moshofsky Woods via Willow Creek Trail,out-and-back,0.9,,22.0,Easy,,,,,45.52583,-122.846
Mosier Plateau Hike,out-and-back,3.5,620.0,760.0,Easy,All year,Yes,No,Yes,,
Mosier Plateau Trail,out-and-back,2.7,,728.0,Moderate,,,,,45.68491,-121.39391
Mosier Twin Tunnels Hike,out-and-back,8.5,530.0,1000.0,Moderate,Year round,Yes,No,Yes,,
Moss Creek Trail [PRIVATE PROPERTY],out-and-back,8.1,,1650.0,Hard,,,,,42.36615,-122.04598
Mount Ashland Trail,loop,5.1,,1374.0,Hard,,,,,42.0734,-122.69707
Mount Ashland via Siskiyou Summit Road,out-and-back,6.5,,895.0,Moderate,,,,,42.07787,-122.70923
Mount Bachelor Trail,out-and-back,5.2,,2595.0,Hard,,,,,43.99258,-121.66213
Mount Bailey Trail,out-and-back,9.6,,3152.0,Hard,,,,,43.12404,-122.16549
Mount Bailey via Three Lakes Trail,out-and-back,11.0,,2942.0,Hard,,,,,43.10597,-122.18373
Mount Baldy Loop,loop,0.9,,259.0,Moderate,,,,,43.9946,-123.0647
Mount Baldy Trail,out-and-back,2.8,,685.0,Easy,,,,,43.99457,-123.06445
Mount Bolivar,out-and-back,2.5,,1125.0,Moderate,,,,,42.78968,-123.82658
Mount Defiance Trail,loop,12.4,,5072.0,Moderate,,,,,45.68838,-121.69039
Mount Defiance from Wahtum Lake Road Hike,out-and-back,3.2,4959.0,1145.0,Easy,May-Nov,Yes,No,No,,
Mount Emily Recreation Area Loop,loop,6.9,,1026.0,Moderate,,,,,45.38421,-118.09636
Mount Emily Recreation Area MTB Loop,loop,6.7,,1013.0,Moderate,,,,,45.39259,-118.08482
Mount Hebo ,out-and-back,5.4,,790.0,Moderate,,,,,45.21805,-123.76236
Mount Hood from Timberline,out-and-back,7.0,,5236.0,Hard,,,,,45.33043,-121.70946
"Mount Hood, Barrett Spur ",out-and-back,15.6,,2982.0,Hard,,,,,45.49202,-121.70506
"Mount Jefferson via Pamelia Lake Trail, PCT, ",out-and-back,20.3,,7060.0,Moderate,,,,,44.66,-121.89127
Mount June Trail,out-and-back,2.2,,915.0,Moderate,,,,,43.79195,-122.73157
Mount McLoughlin Trail,out-and-back,9.5,,3740.0,Moderate,,,,,42.42075,-122.25452
Mount Pisgah Trail,out-and-back,3.3,,1053.0,Moderate,,,,,44.01507,-122.98405
Mount Pisgah via Trail #1,out-and-back,3.1,,987.0,Moderate,,,,,44.00755,-122.98065
"Mount Pisgah via Trail #1, Quarry Road and Seavey Way",loop,4.6,,1312.0,Moderate,,,,,44.01502,-122.98419
Mount Scott Nature Trail Loop,loop,0.8,,111.0,Easy,,,,,45.44752,-122.53769
Mount Scott Trail,out-and-back,4.2,,1259.0,Moderate,,,,,42.92905,-122.03015
Mount Tabor Loop Trail,loop,1.7,,242.0,Easy,,,,,45.51582,-122.5965
Mount Tabor Outer Loop,loop,1.7,,272.0,Easy,,,,,45.51558,-122.59635
Mount Talbert Nature Park Loop Trail,loop,2.9,,613.0,Easy,,,,,45.42057,-122.55267
Mount Talbert via Park Loop and Summit Loop Trail,loop,1.8,,413.0,Easy,,,,,45.42062,-122.55292
Mount Thielsen Trail,out-and-back,9.2,,3963.0,Hard,,,,,43.14623,-122.12765
Mount Washington Via Pacific Crest Trail,out-and-back,10.3,,3087.0,Hard,,,,,44.38043,-121.85602
Mount Yoran Trail,out-and-back,7.4,,2286.0,Moderate,,,,,43.57554,-122.19217
Mountain Lakes Loop Trail,loop,16.7,,3782.0,Moderate,,,,,42.3792,-122.18935
Mountain of the Rogue Loop,loop,6.3,,1364.0,Moderate,,,,,42.4164,-123.15495
Mountaineer Trail Loop,loop,2.9,,1174.0,Hard,,,,,45.33061,-121.70938
Mouth of Sixes River Trail,out-and-back,1.8,,9.0,Easy,,,,,42.84447,-124.53775
Mouth of South Fork,out-and-back,9.5,,800.0,Easy,,,,,42.69605,-122.60229
Mouth of the Pistol River to Oregon Islands Wilderness,out-and-back,3.4,,150.0,Easy,,,,,42.27529,-124.40523
Mowich Lake,out-and-back,9.9,,1332.0,Moderate,,,,,44.49072,-121.94982
Mt. Bachelor to Bend Mountain Bike Ride,out-and-back,21.4,,977.0,Moderate,,,,,44.00053,-121.66389
Mud Lake Hike,out-and-back,7.4,4480.0,1400.0,Moderate,Summer into Fall,Yes,es,No,,
Muir Creek Falls,out-and-back,1.1,,91.0,Easy,,,,,43.07203,-122.33654
Muir Creek Falls via Muir Camp,out-and-back,6.0,,610.0,Moderate,,,,,43.04789,-122.35141
Mulkey Creek Trail,out-and-back,4.5,,583.0,Moderate,,,,,44.57606,-123.32652
Multnomah Falls Hike,out-and-back,,895.0,870.0,Moderate,Year-round,Yes,No,Very,,
Multnomah Falls Trail,out-and-back,2.0,,823.0,Moderate,,,,,45.57787,-122.11727
Multnomah Falls to Triple Falls [CLOSED],out-and-back,6.5,,1574.0,Moderate,,,,,45.57776,-122.11767
Multnomah Falls to Wahkeena Falls Loop,loop,9.0,,2864.0,Hard,,,,,45.57769,-122.11722
Multnomah-Wahkeena Loop Hike,loop,4.9,1560.0,1600.0,Moderate,Year round (occasional snow/ice in winter),Yes,No,Yes,,
Multorpor Mountain View Trail,out-and-back,12.5,,2411.0,Moderate,,,,,45.30358,-121.74615
Munra Point via George Trail [CLOSED],out-and-back,4.7,,2244.0,Hard,,,,,45.63136,-121.95401
Munson Creek Falls,out-and-back,0.5,,59.0,Easy,,,,,45.36563,-123.77355
Murrayhill Powerline Trail,out-and-back,2.0,,265.0,Easy,,,,,45.43976,-122.82881
Myrtle Park Road Trail,out-and-back,4.4,,711.0,Easy,,,,,43.94377,-119.06576
Myrtle Tree Trail,out-and-back,0.3,,167.0,Easy,,,,,42.50418,-124.28892
NW BPA Road,out-and-back,3.9,,1115.0,Moderate,,,,,45.61164,-122.79744
"NW Leif Erickson, Dogwood, Wildwood, and Aspen Trail Loop",loop,4.0,,488.0,Moderate,,,,,45.53906,-122.72535
"NW Leif Erikson, Alder, and Wild Cherry Trail Loop",loop,3.3,,495.0,Moderate,,,,,45.54054,-122.72621
Nannie Creek Trail,out-and-back,8.0,,1184.0,Moderate,,,,,42.61367,-122.14777
Nash Lake Trail Via Horse Creek Trail,out-and-back,21.0,,3635.0,Hard,,,,,44.11099,-122.02744
Nasty Rock Trail,out-and-back,10.4,,4219.0,Hard,,,,,44.85954,-122.27508
National Creek Falls Trail,out-and-back,0.7,,150.0,Easy,,,,,43.03157,-122.34711
National Forest Development Road 1520,out-and-back,7.7,,1220.0,Moderate,,,,,45.53984,-122.11686
Natural Bridges Cove - North Island Viewpoint (China Beach) Trail,out-and-back,0.5,,154.0,Moderate,,,,,42.19005,-124.36603
Natural Rock Arch Trail,out-and-back,0.6,,377.0,Moderate,,,,,44.76788,-122.27606
Neahkahnie Mountain (Northern Approach),out-and-back,9.6,,2755.0,Hard,,,,,45.75955,-123.9593
Neahkahnie Mountain via Oregon Coast Trail,out-and-back,5.3,,1309.0,Hard,,,,,45.74819,-123.96247
Necarney Creek and Cedar Crossing Loop,loop,0.7,,82.0,Easy,,,,,45.75965,-123.95919
Necarney Creek and Oregon Coast to South Beach Access,out-and-back,0.8,,85.0,Easy,,,,,45.75987,-123.95918
Needle Point and Main Eagle Meadow ,out-and-back,15.1,,4429.0,Moderate,,,,,45.06811,-117.40659
Nehalem Bay Trail Loop,loop,1.8,,26.0,Easy,,,,,45.69752,-123.93542
Nehalem Falls Trail,loop,0.7,,75.0,Easy,,,,,45.72682,-123.77177
Nehalem Spit Trail,out-and-back,5.2,,95.0,Moderate,,,,,45.6886,-123.93698
Nellie Corser Loop Hike,loop,0.8,1215.0,275.0,Easy,Spring through fall,Yes,No,No,,
Nels Rogers-University Falls Loop Trail,loop,7.8,,1341.0,Moderate,,,,,45.62275,-123.37523
Nesika Beach South,out-and-back,1.0,,29.0,Moderate,,,,,42.51424,-124.40973
Nesmith Point Trail [CLOSED],out-and-back,10.2,,3805.0,Hard,,,,,45.61242,-122.00435
Nestucca River,out-and-back,5.4,,32.0,Easy,,,,,45.202,-123.96591
Nestucca Spit Trail,loop,4.8,,104.0,Moderate,,,,,45.19249,-123.96746
Netarts Spit Trail,out-and-back,10.5,,78.0,Easy,,,,,45.36014,-123.97024
Nettleton and Vineyard Mountain Short Trail ,loop,0.7,,82.0,Easy,,,,,44.63689,-123.29558
Netul River Trail,out-and-back,1.9,,52.0,Easy,,,,,46.13413,-123.88041
New River Area Trails,loop,2.4,,45.0,Moderate,,,,,42.99609,-124.45004
Newberry Crater Trail to East Lake Hot Springs,out-and-back,3.4,,364.0,Easy,,,,,43.73133,-121.1959
Newberry Loop Trail,loop,9.1,,1154.0,Moderate,,,,,45.59154,-122.80234
"Newton Creek, Timberline Trail, and Gnarl Ridge Trail Loop",loop,7.8,,1443.0,Hard,,,,,45.32491,-121.63596
Nick Eaton #447 and Gorton Creek # 408 Trail Loop,loop,17.4,,5869.0,Hard,,,,,45.68272,-121.84253
Nick Eaton Falls Hike,out-and-back,4.2,1020.0,970.0,Easy,All year,Yes,No,Yes,,
Ninemile Ridge Trail,out-and-back,13.3,,4356.0,Hard,,,,,45.71875,-118.18731
No Name Lake and Bend Glacier via Broken Top Trail,out-and-back,5.5,,1420.0,Hard,,,,,44.05586,-121.67536
No Name Lake and Bend Glacier via Crater Ditch Trail,loop,7.8,,1446.0,Hard,,,,,44.04668,-121.67402
No Name Trail,loop,1.5,,367.0,Moderate,,,,,42.09944,-123.41044
Noble Woods Trail,loop,1.1,,59.0,Easy,,,,,45.5167,-122.91647
Norling Gulch Loop,loop,6.1,,1466.0,Moderate,,,,,42.3249,-123.00606
North Bank Path: West D St Greenway,out-and-back,1.2,,19.0,Easy,,,,,44.04787,-123.04381
North Bank Trail,out-and-back,8.0,,282.0,Easy,,,,,43.91703,-122.751
North Bank and South Bank Path Loop,loop,3.6,,68.0,Easy,,,,,44.06648,-123.1063
North Boundary Trail,out-and-back,6.7,,1085.0,Moderate,,,,,43.99143,-122.94198
North East Cline Buttes OHV Trail,loop,4.7,,124.0,Easy,,,,,44.29242,-121.33116
North Falls Lookout,out-and-back,0.5,,26.0,Easy,,,,,44.88456,-122.62043
"North Falls, Winter Falls and Twin Falls via Canyon and Rim Trails",loop,2.9,,396.0,Easy,,,,,44.88441,-122.62035
North Forest Park Loop via St. Johns Bridge Loop,loop,6.5,,1315.0,Moderate,,,,,45.58855,-122.75726
North Fork Catherine Creek Trail,out-and-back,9.7,,1584.0,Moderate,,,,,45.1527,-117.6173
North Fork John Day River Wilderness Trail,out-and-back,27.7,,1519.0,Hard,,,,,44.91549,-118.40434
North Fork Middle Fork Willamette River Trail,out-and-back,9.9,,784.0,Moderate,,,,,43.75928,-122.4961
North Fork Umatilla Wilderness Loop,loop,20.6,,3792.0,Moderate,,,,,45.71834,-118.18717
North Fork Umatilla Wilderness Trail,out-and-back,17.6,,4589.0,Hard,,,,,45.72652,-118.18763
North Fork Walla Walla Trail,out-and-back,10.9,,1354.0,Moderate,,,,,45.94153,-118.00162
North Fork to Farewell,loop,15.2,,1886.0,Hard,,,,,44.03157,-121.51496
North Fork to Mrazek Trail,out-and-back,19.5,,1614.0,Moderate,,,,,44.03207,-121.56634
North Fork: Flagline Loop,loop,9.5,,1430.0,Moderate,,,,,44.03232,-121.56743
North Foster Lake Trail,out-and-back,5.0,,291.0,Moderate,,,,,44.42732,-122.62752
North Horse Loop,loop,2.0,,259.0,Easy,,,,,45.44166,-122.6757
"North Horse, Lewis and Clark and Big Fir Trail",loop,3.3,,426.0,Moderate,,,,,45.44128,-122.67604
"North Horse, Lewis and Clark, Englewood Horse, and Cedar Trail Loop",loop,4.7,,590.0,Moderate,,,,,45.44267,-122.67506
North Island Trail Viewpoint,loop,0.6,,134.0,Easy,,,,,42.16984,-124.36012
North Lake Trail ,out-and-back,13.1,,2188.0,Hard,,,,,45.57747,-121.7927
North Martthieu Lake Trail,out-and-back,5.4,,790.0,Moderate,,,,,44.25984,-121.7873
North Oxbow Trail,out-and-back,4.9,,633.0,Easy,,,,,45.49872,-122.29607
North Point Loop,loop,0.4,,3.0,Easy,,,,,44.37032,-121.13478
North Ridge Trail to Marys Peak,out-and-back,7.1,,2004.0,Hard,,,,,44.53106,-123.54449
North Santiam River,loop,1.4,,13.0,Easy,,,,,44.79923,-122.78779
North Santiam River: Big Cliff Dam to Packsaddle County Park,out-and-back,4.3,,0.0,Easy,,,,,44.75165,-122.28355
North Santiam River: Packsaddle Park to Mill City,out-and-back,7.2,,29.0,Easy,,,,,44.75737,-122.3654
North Spit Trail,out-and-back,3.3,,26.0,Moderate,,,,,43.41623,-124.28011
North Trail Cape Lookout State Park,out-and-back,4.8,,1578.0,Moderate,,,,,45.34153,-123.97287
North Umpqua River Rafting Trip,out-and-back,14.3,,734.0,Easy,,,,,43.3039,-122.52653
North Umpqua River: Boulder Flat to Gravel Bin,out-and-back,15.3,,2208.0,Moderate,,,,,43.30504,-122.52436
North Umpqua Trail: Calf Segment,out-and-back,3.7,,708.0,Moderate,,,,,43.30491,-122.67877
North Umpqua Trail: Deer Leap Segment,out-and-back,8.4,,1909.0,Moderate,,,,,43.30323,-122.49493
North Umpqua Trail: Dread and Terror Segment,out-and-back,12.0,,2837.0,Hard,,,,,43.29353,-122.36512
North Umpqua Trail: Jesse Wright Segment,out-and-back,9.6,,1115.0,Moderate,,,,,43.29067,-122.56601
North Umpqua Trail: Lemolo Segment,out-and-back,9.4,,1200.0,Moderate,,,,,43.32914,-122.20277
North Umpqua Trail: Maidu Segment,out-and-back,20.0,,2086.0,Moderate,,,,,43.31015,-122.11953
North Umpqua Trail: Marsters Segment,out-and-back,4.0,,757.0,Moderate,,,,,43.2887,-122.62153
North Umpqua Trail: Mott Segment,out-and-back,5.2,,472.0,Moderate,,,,,43.32035,-122.81275
North Umpqua Trail: Panther Segment,out-and-back,9.1,,1528.0,Moderate,,,,,43.34274,-122.7352
North Umpqua Trail: Swiftwater and Tioga Segment,out-and-back,14.3,,2742.0,Hard,,,,,43.33152,-123.0048
North Umpqua to Mount Thielsen Trail,out-and-back,11.2,,2198.0,Moderate,,,,,43.26342,-122.41341
North Umqua Trail: Hot Springs Segment,out-and-back,3.3,,754.0,Moderate,,,,,43.27206,-122.40662
"North Waldo CG, Charlton Lake, Horse Camp",loop,7.4,,692.0,Easy,,,,,43.75762,-122.00479
North Willamette Park Loop,loop,0.7,,177.0,Easy,,,,,45.3565,-122.65414
Northern Gales Creek Trail,out-and-back,5.8,,1466.0,Hard,,,,,45.70713,-123.33745
Northern Oregon Coast,out-and-back,90.8,,5082.0,Moderate,,,,,46.19931,-123.95203
Northern Prineville Reservoir,out-and-back,7.1,,879.0,Moderate,,,,,44.13496,-120.69436
Northern Three Sisters Loop Trail,loop,44.9,,6663.0,Moderate,,,,,44.18753,-121.70077
Northwest BPA Road and Wildwood Trail Loop,loop,3.3,,390.0,Moderate,,,,,45.59158,-122.80228
Northwest BPA and Wildwood Trail Loops,loop,9.2,,2152.0,Moderate,,,,,45.59679,-122.78422
Northwest Corvallis Trail,out-and-back,14.7,,1397.0,Moderate,,,,,44.61293,-123.26733
Northwest Fire Lane 12 and 13 Loop,loop,2.7,,688.0,Moderate,,,,,45.61612,-122.80668
Northwest Firelane 15 Road to Northwest BPA Road Loop,loop,3.8,,754.0,Moderate,,,,,45.59648,-122.82334
Northwest Firelane 7 Road and Wildwood Trail Loop,loop,4.4,,413.0,Moderate,,,,,45.57448,-122.7889
"Northwest Firelane 7, Trillium and Northwest Leif Erikson Drive",loop,3.2,,508.0,Moderate,,,,,45.57453,-122.78847
"Northwest Leif Erickson Drive, Wild Cherry and Dogwood Trail Loop ",loop,3.4,,741.0,Easy,,,,,45.5398,-122.72438
Northwest Leif Erikson Drive,out-and-back,10.3,,688.0,Moderate,,,,,45.5888,-122.79055
Northwest Leif Erikson Drive and Keil Trail Loop ,loop,2.5,,495.0,Easy,,,,,45.54042,-122.73671
Northwest Newton Road Trail,out-and-back,3.7,,879.0,Moderate,,,,,45.59156,-122.80236
Northwest Saltzman Road,out-and-back,2.6,,419.0,Easy,,,,,45.56637,-122.75279
O'Leary Mountain Trail,out-and-back,17.9,,5252.0,Hard,,,,,44.11364,-122.10383
OC & E Woods Line State Trail: Bly to Klamath Falls,out-and-back,63.6,,885.0,Moderate,,,,,42.39783,-121.03952
OSU Covered Bridge,out-and-back,2.8,,39.0,Easy,,,,,44.56678,-123.28985
OSU to Bald Hill,out-and-back,6.3,,544.0,Moderate,,,,,44.56673,-123.29074
Oak Creek Greenbelt Trail,loop,3.0,,39.0,Easy,,,,,44.59221,-123.12075
Oak Creek Quarry Loop Trail,loop,9.4,,2250.0,Hard,,,,,44.60469,-123.33218
Oak Creek to Dimple Hill,loop,2.9,,987.0,Moderate,,,,,44.6039,-123.3325
Oak Island Nature Trail,loop,2.8,,36.0,Easy,,,,,45.71404,-122.82085
Oak Ridge Trail,out-and-back,5.1,,1879.0,Moderate,,,,,45.5209,-121.56
Oak Savannah Loop Trail,loop,0.7,,59.0,Easy,,,,,42.469,-122.9454
"Oak, Creek, Old Wagon and Vine Maple Loop",loop,2.0,,62.0,Easy,,,,,45.49801,-122.83869
"Oak, Creek, Old Wagon, Big Fir, Vine Maple Loop",loop,2.6,,72.0,Easy,,,,,45.49829,-122.83959
Obsidian Trail,out-and-back,11.8,,2139.0,Moderate,,,,,44.20471,-121.87034
"Obsidian, Pacific Crest and South Sister Loop",loop,32.0,,12208.0,Moderate,,,,,44.20504,-121.86971
Oceanside Beach Trail,out-and-back,0.9,,9.0,Easy,,,,,45.46045,-123.97003
Octopus Tree Trail,out-and-back,0.3,,88.0,Easy,,,,,45.48585,-123.97418
Odell & Crescent Lakes Area Campgrounds,out-and-back,9.5,,433.0,Easy,,,,,43.50263,-121.97465
Odell Lake,loop,3.1,,249.0,Easy,,,,,43.54926,-121.96422
Odell Lake To Marie Lake Trail,out-and-back,22.7,,2365.0,Hard,,,,,43.57952,-122.04321
Olallie Butte,out-and-back,6.7,,2539.0,Hard,,,,,44.84187,-121.77973
Olallie Mountain Bike Loop,loop,9.0,,2345.0,Moderate,,,,,44.14941,-122.1554
Olallie Mountain Trail ,out-and-back,7.5,,1614.0,Hard,,,,,44.06101,-122.06181
Olallie Trail,out-and-back,39.3,,7877.0,Hard,,,,,44.14934,-122.15566
Olallie Trail to O'Leary Road,out-and-back,17.9,,4278.0,Moderate,,,,,44.14929,-122.15572
Old Baldy Trail,out-and-back,9.7,,3100.0,Hard,,,,,45.2309,-122.01107
Old Growth Trail,out-and-back,0.9,,203.0,Easy,,,,,42.09966,-123.41006
Old Jetty Trail,out-and-back,2.1,,22.0,Easy,,,,,44.6016,-124.0654
Old Main Trail Loop,loop,1.2,,144.0,Easy,,,,,45.4411,-122.67595
Old Main Trail to Cedar Trail and West Horse Loop ,loop,2.0,,265.0,Moderate,,,,,45.44173,-122.67578
Old Main Trail to Red Fox Trail,out-and-back,1.5,,249.0,Easy,,,,,45.4416,-122.67557
"Old Main, Big Fir, Middle Creek, Maple Ridge Loop",loop,1.6,,137.0,Easy,,,,,45.44205,-122.6753
"Old Man, Cedar, Terwilliger and North Horse Loop ",loop,4.2,,479.0,Moderate,,,,,45.44271,-122.67511
Old Salmon River Trail,out-and-back,2.7,,187.0,Easy,,,,,45.30845,-121.94296
Ollala Simple Trail,loop,6.2,,994.0,Moderate,,,,,44.68082,-123.92904
Ona Beach,loop,0.7,,3.0,Easy,,,,,44.52142,-124.07059
Ona Beach to Seal Rock,out-and-back,4.0,,42.0,Moderate,,,,,44.52127,-124.0707
Oneonta Gorge Trail [CLOSED],out-and-back,4.9,,1633.0,Moderate,,,,,45.58854,-122.07876
Oneonta Trail [CLOSED],out-and-back,9.6,,3316.0,Hard,,,,,45.58871,-122.07845
Oneonta Trail and Gorge Trail (Short Option) [CLOSED],loop,2.3,,538.0,Moderate,,,,,45.59027,-122.06865
Oneonta Trail to Bell Creek Trail Loop [CLOSED],loop,13.7,,3815.0,Hard,,,,,45.58861,-122.07832
Onion Creek Loop Trail,loop,16.0,,5200.0,Hard,,,,,44.33404,-118.66455
Onion Mountain Lookout Point,out-and-back,1.6,,406.0,Easy,,,,,42.45228,-123.60868
Opal Creek Trail,out-and-back,6.9,,652.0,Easy,,,,,44.85983,-122.26435
Opal Creek to Cedar Flats,out-and-back,9.3,,1056.0,Moderate,,,,,44.85986,-122.2644
Opal Creek to Jawbone Flats Loop,loop,6.5,,613.0,Moderate,,,,,44.86068,-122.25961
Opal Lake Trail #3372,out-and-back,1.7,,324.0,Easy,,,,,44.7898,-122.22741
Ophir Rest Area South Trail,out-and-back,1.0,,45.0,Moderate,,,,,42.53581,-124.39995
Ophir Trail to Euchre Creek Mouth,out-and-back,2.0,,36.0,Easy,,,,,42.55354,-124.39288
Orchard Park,loop,0.6,,22.0,Easy,,,,,45.53618,-122.89238
Orchard and Cedar Grove Loop Trail,loop,3.2,,498.0,Easy,,,,,45.4902,-122.49596
Oregon Backcountry Discovery Route #3,out-and-back,368.5,,30741.0,Moderate,,,,,44.42111,-121.86165
Oregon Beaches Via Seaside Promenade,out-and-back,3.8,,26.0,Easy,,,,,45.98056,-123.93429
Oregon Coast Trail,out-and-back,2.5,,337.0,Easy,,,,,44.2808,-124.1086
Oregon Coast Trail to Neahkahnie Mountain,out-and-back,2.8,,889.0,Moderate,,,,,45.74053,-123.93443
Oregon Coast Trail via Cascade Trailhead,out-and-back,6.5,,1230.0,Moderate,,,,,45.03053,-123.95552
Oregon Coast Trail: Arch Cape to Manzanita,out-and-back,11.1,,2070.0,Moderate,,,,,45.80319,-123.95811
Oregon Coast: Seaside to Crescent Beach ,out-and-back,14.2,,3494.0,Hard,,,,,45.97357,-123.954
Oregon Coastal Trail: Belleview Road to Beach,out-and-back,3.1,,636.0,Moderate,,,,,42.34818,-124.41769
Oregon Coastal Trail: Humbug Section,out-and-back,4.4,,702.0,Moderate,,,,,42.68781,-124.43938
